,listing_id,pos,neu,neg,compound,name,latitude,longitude,review_scores_rating,neighbourhood_cleansed,distance_airport,distance_tophub,distance_prudential,distance_royale,distance_harvard
2243,18194203,0.41052238884000003,0.5731601111200001,0.00298416668,0.49896369999999995,Smart 1BR in Seaport by Sonder,42.33974325121584,-71.04997944248987,98.0,South Boston,2.731054578870888,1.7961906777840146,1.7426101833215881,1.0627719229100416,5.347744726694166
3213,22206507,0.41044444433333327,0.576888889,0.012666666666666666,0.4769944443333333,Cozy 3BR Near Copley Square in Boston^ MA!,42.33222329469582,-71.11065604321576,80.0,Mission Hill,5.663653835232406,1.6903726193811692,1.7710163062964663,2.612489521390327,3.622817625375234
4724,30121288,0.41032108863636374,0.5723693002727273,0.017320974727272728,0.4949130143636364,Boston City Suite shared 2 (orange line) left,42.33137563965074,-71.10012644141604,93.0,Mission Hill,5.2021424905222355,1.3366842898620355,1.4132902974437163,2.1844726620287087,3.920460337905718
1884,15504162,0.4100982922412283,0.5758358364912279,0.012850809030701755,0.5263457007412277,"Designer Studio & Patio, Hot-Tub in Best Location",42.35486845301227,-71.07650888093752,94.0,Back Bay,3.504224850420613,0.6881976912931118,0.6156123168266988,0.6565760111169591,3.648085324959104
1441,13083058,0.41001071433333336,0.58210833325,0.007880952416666668,0.5345094245833333,Sunny Studio at Fenway,42.346456282737456,-71.10415928483286,100.0,Fenway,5.017880184262644,1.03986090936395,1.109060085443431,1.9908743803429423,2.9394678833110146
3114,21827688,0.40978333327777783,0.5715722222222221,0.018635185166666665,0.4549704629444445,112 Myrtle Street Apartment 2,42.358825550208685,-71.06925954597003,96.0,Beacon Hill,3.0894477450905264,1.131298187173872,1.05401121060856,0.6432564560683159,3.8642719024363568
857,7508865,0.409725,0.5748749999999999,0.01545,0.4843925,Luxury 1- BR Apt near Boston's Children Hospital,42.343517105459256,-71.10204141203265,65.0,Fenway,4.971871701291615,0.9541595784987972,1.0304856513173215,1.9196416767397393,3.166768112364669
3185,22100284,0.40964250700000004,0.5826123949411766,0.007745097999999999,0.4818761975882353,Romantic 1BR in Downtown Crossing by Sonder,42.351110691989774,-71.06371975645298,89.0,Downtown,2.9454358934538067,1.0783361939899259,1.0006498596340188,0.12486915957048898,4.347662835085031
3836,25003001,0.40957352941176467,0.5790861344705882,0.011358543411764706,0.5060581232941177,Room C: Big Old Home in Dorchester,42.284707865469024,-71.08505149603971,91.0,Dorchester,6.7902575367388245,4.266537148241538,4.3113237070859025,4.610498062189525,7.15416314763751
2176,17704067,0.40953333340000003,0.5904666666,0.0,0.5019233334,Great Location for your stay!,42.30826362784258,-71.07034203097953,100.0,Dorchester,5.033566199103471,2.7293794949720347,2.7550252943090565,2.8856235498532863,6.089983626863326
