,host_response_time,host_response_rate,host_is_superhost,host_verification_level,neighbourhood_cleansed,host_identity_verified,is_location_exact,instant_bookable,property_type,room_type,bed_type,Wifi,Heating,Essentials,Smoke detector,Kitchen,Carbon monoxide detector,Hangers,Air conditioning,Shampoo,Hair dryer,price,security_deposit,cleaning_fee,extra_people,number_of_reviews,review_scores_rating,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,cancellation_policy,reviews_per_month
94,3.0,93.0,0,8.0,Beacon Hill,0,1,0,Apartment,Entire home/apt,Real Bed,True,True,True,True,True,True,True,True,True,True,150.0,1000.0,150.0,0.0,17.0,99.0,9.0,10.0,10.0,10.0,strict_14_with_grace_period,0.56
95,1.0,100.0,0,7.0,Back Bay,1,1,1,Apartment,Entire home/apt,Real Bed,True,True,True,True,True,True,True,True,True,True,165.0,0.0,140.0,30.0,175.0,93.0,10.0,10.0,10.0,10.0,strict_14_with_grace_period,2.06
96,1.0,100.0,0,6.0,Dorchester,1,1,0,Townhouse,Entire home/apt,Real Bed,True,True,True,False,True,False,False,False,False,False,196.0,200.0,110.0,20.0,103.0,87.0,9.0,9.0,9.0,8.0,strict_14_with_grace_period,1.22
97,1.0,100.0,1,5.0,South End,1,1,0,Apartment,Private room,Real Bed,True,True,True,True,True,True,True,True,True,True,99.0,150.0,5.0,15.0,273.0,99.0,10.0,10.0,10.0,10.0,moderate,3.22
98,1.0,100.0,1,7.0,South End,1,1,1,Apartment,Entire home/apt,Real Bed,True,True,True,True,True,True,True,False,True,True,168.0,100.0,70.0,300.0,358.0,96.0,9.0,10.0,10.0,10.0,moderate,5.0
100,1.0,100.0,0,7.0,Jamaica Plain,1,1,1,Apartment,Entire home/apt,Real Bed,True,True,True,True,True,True,True,True,True,True,145.0,100.0,35.0,5.0,188.0,95.0,10.0,10.0,10.0,10.0,strict_14_with_grace_period,3.22
101,1.0,96.0,0,6.0,Roxbury,0,1,0,Apartment,Entire home/apt,Real Bed,True,True,True,True,True,True,True,True,True,True,167.0,500.0,105.0,0.0,90.0,87.0,10.0,10.0,9.0,9.0,strict_14_with_grace_period,1.1
103,1.0,100.0,0,6.0,Dorchester,1,1,0,House,Entire home/apt,Real Bed,True,True,True,True,False,False,False,True,False,True,495.0,150.0,150.0,20.0,22.0,87.0,9.0,9.0,9.0,7.0,strict_14_with_grace_period,0.28
105,3.0,100.0,0,4.0,Dorchester,1,1,0,Apartment,Private room,Real Bed,True,True,True,True,True,True,True,True,True,True,49.0,100.0,25.0,10.0,21.0,87.0,9.0,9.0,10.0,8.0,moderate,0.31
106,3.0,50.0,0,6.0,Charlestown,0,0,0,Apartment,Entire home/apt,Real Bed,True,True,False,False,True,False,False,True,False,False,595.0,0.0,200.0,50.0,2.0,100.0,8.0,10.0,10.0,8.0,strict_14_with_grace_period,0.03
107,1.0,90.0,0,5.0,Back Bay,1,1,1,Apartment,Entire home/apt,Real Bed,True,True,True,True,True,True,True,True,True,True,75.0,150.0,35.0,0.0,507.0,92.0,9.0,10.0,10.0,10.0,strict_14_with_grace_period,6.12
